title,url,published_date,publisher
This is all it would take for bitcoin to become a worthless cryptocurrency - MarketWatch,https://www.marketwatch.com/story/this-is-all-it-would-take-for-bitcoin-to-become-a-worthless-cryptocurrency-2018-04-12,2018-04-12T07:00:00+00:00,"{'name': 'MarketWatch', 'url': 'https://www.marketwatch.com'}"
Inside the Jordan refugee camp that runs on blockchain - MIT Technology Review,https://www.technologyreview.com/2018/04/12/143410/inside-the-jordan-refugee-camp-that-runs-on-blockchain/,2018-04-12T07:00:00+00:00,"{'name': 'MIT Technology Review', 'url': 'https://www.technologyreview.com'}"
Santander launches a blockchain-based foreign exchange service that uses Ripple’s technology - CNBC,https://www.cnbc.com/2018/04/12/santander-launches-blockchain-based-foreign-exchange-using-ripple-tech.html,2018-04-12T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Survey: 1 in 5 college students with loans used aid to buy Bitcoin or other cryptocurrencies - Inside Higher Ed,https://www.insidehighered.com/news/2018/04/12/survey-1-5-college-students-loans-used-aid-buy-bitcoin-or-other-cryptocurrencies,2018-04-11T07:00:00+00:00,"{'name': 'Inside Higher Ed', 'url': 'https://www.insidehighered.com'}"
Bitcoin Surges Most Since December After Breaching Key Levels - Bloomberg,https://www.bloomberg.com/news/articles/2018-04-12/bitcoin-surges-after-breaking-through-7-000-barrier,2018-04-12T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
The Digital Gamble: New Technology Transforms Fiscal Policy - International Monetary Fund,https://www.imf.org/en/Blogs/Articles/2018/04/12/the-digital-gamble-new-technology-transforms-fiscal-policy,2018-04-12T07:00:00+00:00,"{'name': 'International Monetary Fund', 'url': 'https://www.imf.org'}"
Some Top Crypto Investors Are Now Telling Entrepreneurs Not To ICO - Forbes,https://www.forbes.com/sites/jeffkauflin/2018/04/12/some-top-crypto-investors-are-now-telling-entrepreneurs-not-to-ico/,2018-04-12T07:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Bitcoin Chart Analysis - BTC Price Soars on Technical Breakout - Nasdaq,https://www.nasdaq.com/articles/bitcoin-chart-analysis-btc-price-soars-technical-breakout-2018-04-12,2018-04-12T07:00:00+00:00,"{'name': 'Nasdaq', 'url': 'https://www.nasdaq.com'}"
"$300 Hepatitis C Drug Just As Good as $84,000 Cure: Study - Fortune",https://fortune.com/2018/04/12/hepatitis-c-cure-300-dollars/,2018-04-12T07:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
"TenX adds LTC to wallet, partners with Litecoin Foundation - CryptoNinjas",https://www.cryptoninjas.net/2018/04/12/tenx-adds-ltc-to-wallet-partners-with-litecoin-foundation/,2018-04-12T07:00:00+00:00,"{'name': 'CryptoNinjas', 'url': 'https://www.cryptoninjas.net'}"
