title,url,published_date,publisher
"In a world first, El Salvador makes bitcoin legal tender - Reuters.com",https://www.reuters.com/world/americas/el-salvador-approves-first-law-bitcoin-legal-tender-2021-06-09/,2021-06-09T07:00:00+00:00,"{'name': 'Reuters.com', 'url': 'https://www.reuters.com'}"
El Salvador becomes first country to adopt bitcoin as legal tender after passing law - CNBC,https://www.cnbc.com/2021/06/09/el-salvador-proposes-law-to-make-bitcoin-legal-tender.html,2021-06-08T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"Bitcoin Is Actually Traceable, Pipeline Investigation Shows - The New York Times",https://www.nytimes.com/2021/06/09/technology/bitcoin-untraceable-pipeline-ransomware.html,2021-06-09T07:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
Is buying cryptocurrency investing or gambling? Here's how to tell the difference - USA TODAY,https://www.usatoday.com/story/money/personalfinance/2021/06/09/cryptocurrency-investing-vs-gambling/7606108002/,2021-06-09T07:00:00+00:00,"{'name': 'USA TODAY', 'url': 'https://www.usatoday.com'}"
El Salvador moves into bitcoin - Axios,https://www.axios.com/2021/06/09/bitcoin-cryptocurrencies-el-salvador,2021-06-09T07:00:00+00:00,"{'name': 'Axios', 'url': 'https://www.axios.com'}"
Bitcoin Trading Volume Tumbles After Record May; Demand Withers With Price - CoinDesk,https://www.coindesk.com/markets/2021/06/09/bitcoin-trading-volume-tumbles-after-record-may-demand-withers-with-price/,2021-06-09T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
El Salvador Becomes First Nation to Make Bitcoin Legal Tender (Published 2021) - The New York Times,https://www.nytimes.com/2021/06/09/world/americas/salvador-bitcoin.html,2021-06-09T07:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
JBS paid $11 million in ransom after hackers shut down meat plants - The Washington Post,https://www.washingtonpost.com/technology/2021/06/09/jbs-11-million-ransom/,2021-06-09T07:00:00+00:00,"{'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com'}"
Warren: U.S. government needs to confront crypto threats 'head on' - Reuters.com,https://www.reuters.com/technology/warren-us-government-needs-confront-crypto-threats-head-on-2021-06-09/,2021-06-09T07:00:00+00:00,"{'name': 'Reuters.com', 'url': 'https://www.reuters.com'}"
How could the FBI recover BTC from Colonial’s ransomware payment? - Sophos,https://news.sophos.com/en-us/2021/06/09/how-could-the-fbi-recover-btc-from-colonials-ransomware-payment/,2021-06-09T07:00:00+00:00,"{'name': 'Sophos', 'url': 'https://news.sophos.com'}"
