title,url,published_date,publisher
Blockchain Bites: What the Bitcoin Halving Means for Miners and Prices - CoinDesk,https://www.coindesk.com/markets/2020/04/29/blockchain-bites-what-the-bitcoin-halving-means-for-miners-and-prices/,2020-04-29T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
Bitcoin Tops $9000 for First Time Since March Amid Halving Hype - Bloomberg,https://www.bloomberg.com/news/articles/2020-04-29/bitcoin-tops-8-000-for-first-time-since-march-amid-halving-hype,2020-04-29T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
Today in Crypto Twitter: 'Blow to Bitcoin' (2020-04-29) - BeInCrypto,https://beincrypto.com/today-in-crypto-twitter-blow-to-bitcoin-2020-04-29/,2020-04-29T07:00:00+00:00,"{'name': 'BeInCrypto', 'url': 'https://beincrypto.com'}"
"Over 50% of department stores in malls predicted to close by 2021, real estate services firm says - CNBC",https://www.cnbc.com/2020/04/29/50percent-of-all-these-malls-forecast-to-close-by-2021-green-street-advisors-says.html,2020-04-29T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"GDP sinks 4.8% in the first quarter, biggest drop since 2008 and there is worse to come - MarketWatch",https://www.marketwatch.com/story/gdp-sinks-48-in-the-first-quarter---biggest-drop-since-2008-and-worst-is-yet-to-come-2020-04-29,2020-04-29T07:00:00+00:00,"{'name': 'MarketWatch', 'url': 'https://www.marketwatch.com'}"
8 of The Top 10 Biggest U.S. Coronavirus Hotspots Are Prisons and Jails - Reason,https://reason.com/2020/04/29/8-of-the-top-10-biggest-u-s-coronavirus-hotspots-are-prisons-and-jails/,2020-04-29T07:00:00+00:00,"{'name': 'Reason', 'url': 'https://reason.com'}"
Elon Musk's coronavirus strategy mixes PR with a hero complex - The Washington Post,https://www.washingtonpost.com/technology/2020/04/29/musk-tesla-coronavirus/,2020-04-29T07:00:00+00:00,"{'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com'}"
"Mass. Cities And Towns That Now Require Face Masks, Coverings In Public - WBUR News",https://www.wbur.org/news/2020/04/29/face-masks-covering-orders-coronavirus-massachusetts,2020-04-29T07:00:00+00:00,"{'name': 'WBUR News', 'url': 'https://www.wbur.org'}"
Will Business Interruption Insurance Provide Coverage for Coronavirus Losses? - The CPA Journal,https://www.cpajournal.com/2020/04/29/will-business-interruption-insurance-provide-coverage-for-coronavirus-losses/,2020-04-29T07:00:00+00:00,"{'name': 'The CPA Journal', 'url': 'https://www.cpajournal.com'}"
"Bitcoin Rises Above $8.1K, Clinching an April Gain for Fifth Year Running - CoinDesk",https://www.coindesk.com/markets/2020/04/29/bitcoin-rises-above-81k-clinching-an-april-gain-for-fifth-year-running/,2020-04-29T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
