title,url,published_date,publisher
"Five predictions for digital currencies in 2018 — including stomach-churning drops, bitcoin-related IPO - CNBC",https://www.cnbc.com/2018/01/05/five-predictions-for-digital-currencies-in-2018.html,2018-01-05T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Should You Buy Bitcoin? Ask a Different Question First (Published 2018) - The New York Times,https://www.nytimes.com/2018/01/05/your-money/bitcoin-investing.html,2018-01-05T08:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
Ripple Prices Drop Sharply After Coinbase Announcement - Forbes,https://www.forbes.com/sites/cbovaird/2018/01/05/ripple-prices-drop-sharply-after-coinbase-announcement/,2018-01-05T08:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Some cryptocurrency-backed cards dropped from Visa network - CNBC,https://www.cnbc.com/2018/01/05/some-cryptocurrency-backed-cards-dropped-from-visa-network.html,2018-01-05T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Altucher-Backed Crypto Exchange Raising $10 Million - CoinDesk,https://www.coindesk.com/markets/2018/01/05/altucher-backed-crypto-exchange-raising-10-million/,2018-01-05T08:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
Bitcoin's latest comedown - Axios,https://www.axios.com/2018/01/05/bitcoins-latest-comedown-1515110810,2017-12-22T08:00:00+00:00,"{'name': 'Axios', 'url': 'https://www.axios.com'}"
Market excess? Parody cryptocurrency dogecoin now worth more than $1B - USA TODAY,https://www.usatoday.com/story/money/markets/2018/01/05/cryptocurrency-created-parody-now-worth-more-than-1-billion/1006701001/,2018-01-05T08:00:00+00:00,"{'name': 'USA TODAY', 'url': 'https://www.usatoday.com'}"
Forget Bitcoin and Litecoin; cryptocurrency TRON is up 12755% in just one month - Business Today,https://www.businesstoday.in/technology/top-story/story/bitcoin-litecoin-cyrptocurrency-tron-value-trx-ethereum-ripple-blockchain-99973-2018-01-05,2018-01-05T08:00:00+00:00,"{'name': 'Business Today', 'url': 'https://www.businesstoday.in'}"
01/05/2018: Going from a retail store to a fulfillment center might not be that easy - Marketplace,https://www.marketplace.org/shows/marketplace-morning-report/01052018-us-edition/,2018-01-05T08:00:00+00:00,"{'name': 'Marketplace', 'url': 'https://www.marketplace.org'}"
Commentary: Philip Morris Isn't Really Quitting Cigarettes - Fortune,https://fortune.com/2018/01/05/philip-morris-international-quit-smoking-cigarettes-tobacco/,2018-01-05T08:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
