title,url,published_date,publisher
The Cryptocurrency Paradox And Why Crypto Is Failing - Forbes,https://www.forbes.com/sites/jayadkisson/2018/11/28/the-cryptocurrency-paradox-and-why-crypto-is-failing/,2018-11-28T08:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
"Justice Department charges Iranians with hacking attacks on U.S. cities, companies - The Washington Post",https://www.washingtonpost.com/world/national-security/justice-dept-charges-iranian-hackers-with-attacks-on-us-cities-companies/2018/11/28/cad313d0-f29b-11e8-80d0-f7e1948d55f4_story.html,2018-11-28T08:00:00+00:00,"{'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com'}"
Consensus Invest Conference Goes From Lambos to Bitcoin Shorts - Bloomberg,https://www.bloomberg.com/news/articles/2018-11-28/lamborghinis-at-crypto-conclave-give-way-to-talks-on-shorting,2018-11-28T08:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
CVS creates new health-care giant as $69 billion merger with Aetna officially closes - CNBC,https://www.cnbc.com/2018/11/28/cvs-creates-new-health-care-giant-as-69-billion-aetna-merger-closes.html,2018-11-28T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"Steemit Lays Off 70% of Its Staff, Citing Crypto Bear Market - CoinDesk",https://www.coindesk.com/markets/2018/11/28/steemit-lays-off-70-of-its-staff-citing-crypto-bear-market/,2018-11-28T08:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
The Other War in Yemen—for Control of the Country's Internet - Foreign Policy,https://foreignpolicy.com/2018/11/28/the-other-war-in-yemen-for-control-of-the-countrys-internet/,2018-11-28T08:00:00+00:00,"{'name': 'Foreign Policy', 'url': 'https://foreignpolicy.com'}"
"Uber, Pinterest and the rest of the 2019 IPO class emerged from the ashes of the Great Recession - Vox.com",https://www.vox.com/2018/11/28/18114790/2019-ipos-recession-uber-airbnb-pinterest-lyft-slack,2018-11-28T08:00:00+00:00,"{'name': 'Vox.com', 'url': 'https://www.vox.com'}"
Two Iranian men indicted in international computer hacking scheme that shut down CDOT computers for days - The Denver Post,https://www.denverpost.com/2018/11/28/iranians-indicted-hacking-cdot/,2018-11-28T08:00:00+00:00,"{'name': 'The Denver Post', 'url': 'https://www.denverpost.com'}"
"Infections may be a 'trigger' for heart attack, stroke - American Heart Association News",https://www.heart.org/en/news/2018/11/28/infections-may-be-a-trigger-for-heart-attack-stroke,2018-11-28T08:00:00+00:00,"{'name': 'American Heart Association News', 'url': 'https://www.heart.org'}"
Physical Meets Digital: CryptoKaiju Launches First Collectible Toys On The Blockchain - Forbes,https://www.forbes.com/sites/rebeccacampbell1/2018/11/28/physical-meets-digital-cryptokaiju-launches-first-collectible-toys-on-the-blockchain/,2018-11-28T08:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
