title,url,published_date,publisher
Bitcoin's wild ride - 60 Minutes - CBS News,https://www.cbsnews.com/news/bitcoins-wild-ride-60-minutes-2019-05-19/,2019-05-19T07:00:00+00:00,"{'name': 'CBS News', 'url': 'https://www.cbsnews.com'}"
Wild bitcoin roller coaster ride sees price plunge 21% before recovering - SiliconANGLE News,https://siliconangle.com/2019/05/19/wild-bitcoin-rollercoaster-ride-sees-value-drop-21-recovering/,2019-05-19T07:00:00+00:00,"{'name': 'SiliconANGLE News', 'url': 'https://siliconangle.com'}"
Blockchain Is Gaining Trust In The Enterprise - Forbes,https://www.forbes.com/sites/louiscolumbus/2019/05/19/blockchain-is-gaining-trust-in-the-enterprise/,2019-05-19T07:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Happy graduation! Billionaire pays off Morehouse College grads’ student-loan debt - MarketWatch,https://www.marketwatch.com/story/happy-graduation-billionaire-pays-off-morehouse-college-grads-student-loan-debt-2019-05-19,2019-05-19T07:00:00+00:00,"{'name': 'MarketWatch', 'url': 'https://www.marketwatch.com'}"
Trump Huawei Ban Ripples Across Industry as Supplies Halted - Bloomberg,https://www.bloomberg.com/news/articles/2019-05-19/google-to-end-some-huawei-business-ties-after-trump-crackdown,2019-05-19T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"Masayoshi Son claims to have a 300-year vision, but his bets suggest he's making it up as he goes - CNBC",https://www.cnbc.com/2019/05/19/masayoshi-son-genius-or-insane-maybe-neither.html,2019-05-19T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"Europe's Top Vacation Destinations Tell Tourists: Sorry, We're Full - Fortune",https://fortune.com/2019/05/19/europe-vacation-overtourism/,2019-05-19T07:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
"What “Off the Hook” owners are doing with $10,000 after Food Network show win - KFOR Oklahoma City",https://kfor.com/news/what-off-the-hook-owners-are-doing-with-10000-after-food-network-show-win/,2019-03-19T07:00:00+00:00,"{'name': 'KFOR Oklahoma City', 'url': 'https://kfor.com'}"
Leslie Odom Jr. evangelizes at CMU's graduation ceremony - Pittsburgh Post-Gazette,https://www.post-gazette.com/ae/theater-dance/2019/05/19/Leslie-Odom-Jr-Hamilton-Carnege-Mellon-University-graduation-commencement-2019/stories/201905190135,2019-05-19T07:00:00+00:00,"{'name': 'Pittsburgh Post-Gazette', 'url': 'https://www.post-gazette.com'}"
Fix Windows 10 can't be restored after you install an update - Ghacks,https://www.ghacks.net/2019/05/19/fix-windows-10-cant-be-restored-after-you-install-an-update/,2019-05-19T07:00:00+00:00,"{'name': 'Ghacks', 'url': 'https://www.ghacks.net'}"
