title,url,published_date,publisher
Bitcoin Breaches New Milestone by Smashing Past $5000 Mark - Bloomberg,https://www.bloomberg.com/news/articles/2017-10-12/bitcoin-climbs-above-5-000-hits-another-record-high,2017-10-12T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
Billionaire financier weighs in on the future of Bitcoin [Updated] - TNW,https://thenextweb.com/news/jeffrey-epstein-bitcoin,2017-10-10T07:00:00+00:00,"{'name': 'TNW', 'url': 'https://thenextweb.com'}"
Here are the 8 of the most bizarre cryptocurrencies on the market - Business Insider,https://www.businessinsider.com/cryptocurrency-market-most-bizarre-2017-8,2017-09-01T07:00:00+00:00,"{'name': 'Business Insider', 'url': 'https://www.businessinsider.com'}"
"Book Review: Before Babylon, Beyond Bitcoin: From Money that We Understand to Money that Understands Us by ... - LSE Home",https://blogs.lse.ac.uk/lsereviewofbooks/2017/10/12/book-review-before-babylon-beyond-bitcoin-from-money-that-we-understand-to-money-that-understands-us-by-david-g-w-birch/,2017-10-12T07:00:00+00:00,"{'name': 'LSE Home', 'url': 'https://blogs.lse.ac.uk'}"
Why HODLing Is Hobbling Bitcoin's Prospects as a Common Currency - CoinDesk,https://www.coindesk.com/markets/2017/10/12/why-hodling-is-hobbling-bitcoins-prospects-as-a-common-currency/,2017-10-12T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
How Jack Ma's foresight helped Alibaba become an e-commerce giant - CNBC,https://www.cnbc.com/2017/10/12/alibaba-jack-ma-says-if-change-is-coming-its-best-to-prepare-early-brave-ones.html,2017-10-12T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"Coinbase announces instant bitcoin, ETH and LTC purchases with US banks - CryptoNinjas",https://www.cryptoninjas.net/2017/10/12/coinbase-announces-instant-bitcoin-ethereum-litecoin-purchases-us-bank-accounts/,2017-10-12T07:00:00+00:00,"{'name': 'CryptoNinjas', 'url': 'https://www.cryptoninjas.net'}"
"Bitcoin Soars Above $5,000 on Hard Fork Dividend Talk, Korean Buying - DailyFX",https://www.dailyfx.com/forex/market_alert/2017/10/12/Bitcoin-Soars-Above-5000-on-Hard-Fork-Dividend-Talk-Korean-Buying.html,2017-10-12T07:00:00+00:00,"{'name': 'DailyFX', 'url': 'https://www.dailyfx.com'}"
30 Years Ago: Lessons From the 1987 Market Crash - U.S News & World Report Money,https://money.usnews.com/investing/buy-and-hold-strategy/articles/2017-10-12/30-years-ago-lessons-from-the-1987-stock-market-crash,2017-10-12T07:00:00+00:00,"{'name': 'U.S News & World Report Money', 'url': 'https://money.usnews.com'}"
Remembering Henoch Argaw (1998-2017) - The Tech,https://thetech.com/2017/10/12/henoch-argaw,2017-10-12T07:00:00+00:00,"{'name': 'The Tech', 'url': 'https://thetech.com'}"
