title,url,published_date,publisher
Is There a Cryptocurrency Bubble? Just Ask Doge. (Published 2017) - The New York Times,https://www.nytimes.com/2017/09/15/business/cryptocurrency-bubble-doge.html,2017-09-15T07:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
Bitcoin Crashes Again After China Moves to Halt Exchange - Bloomberg,https://www.bloomberg.com/news/articles/2017-09-15/china-is-said-to-call-for-bitcoin-exchange-halt-by-month-end-j7lblmdg,2017-09-15T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"Blockchain, Bitcoin, Cryptocurrency And ICOs - All You Need To Know In 10 Minutes - Forbes",https://www.forbes.com/sites/bernardmarr/2017/09/15/blockchain-bitcoin-cryptocurrency-and-icos-all-you-need-to-know-in-10-minutes/,2017-09-15T07:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Bitcoin and Ethereum plunge on Chinese crackdown [Updated] - Ars Technica,https://arstechnica.com/tech-policy/2017/09/bitcoin-and-ethereum-are-cratering/,2017-09-15T07:00:00+00:00,"{'name': 'Ars Technica', 'url': 'https://arstechnica.com'}"
Kurdistan independence: Iraq may split and its oil could start war - CNBC,https://www.cnbc.com/2017/09/15/kurdistan-referendum-iraq-could-be-about-to-split-in-two-but-its-oil-riches-may-spark-a-war.html,2017-09-15T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Big Oil Pushes To Drill In Alaska's Arctic National Wildlife Refuge - Fortune,https://fortune.com/2017/09/15/donald-trump-big-oil-alaska-arctic-wildlife-refuge/,2017-09-15T07:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
Who Will Build the Health-Care Blockchain? - MIT Technology Review,https://www.technologyreview.com/2017/09/15/149153/who-will-build-the-health-care-blockchain/,2017-09-15T07:00:00+00:00,"{'name': 'MIT Technology Review', 'url': 'https://www.technologyreview.com'}"
HIVE Blockchain finalizes $9M acquisition of crypto mining center in partnership with Genesis Mining - CryptoNinjas,https://www.cryptoninjas.net/2017/09/15/hive-blockchain-finalizes-9m-acquisition-gpu-data-center-forms-partnership-genesis-mining/,2017-09-15T07:00:00+00:00,"{'name': 'CryptoNinjas', 'url': 'https://www.cryptoninjas.net'}"
Equifax hired a music major as chief security officer and she has just retired - MarketWatch,https://www.marketwatch.com/story/equifax-ceo-hired-a-music-major-as-the-companys-chief-security-officer-2017-09-15,2017-09-15T07:00:00+00:00,"{'name': 'MarketWatch', 'url': 'https://www.marketwatch.com'}"
Chinese Bitcoin Exchange ViaBTC to Close Amid Regulatory Crackdown - CoinDesk,https://www.coindesk.com/markets/2017/09/15/chinese-bitcoin-exchange-viabtc-to-close-amid-regulatory-crackdown/,2017-09-15T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
