title,url,published_date,publisher
Beyond the Bitcoin Bubble - The New York Times,https://www.nytimes.com/2018/01/16/magazine/beyond-the-bitcoin-bubble.html,2018-01-16T08:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
"As bitcoin's price plunges, skeptics say the cryptocurrency has no value. Here's one argument for why they're wrong - CNBC",https://www.cnbc.com/2018/01/16/skeptics-say-bitcoin-has-no-value-heres-why-theyre-wrong.html,2018-01-16T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Bitcoin Mining Uses As Much Power As Ireland. Here's Why That's Not A Problem - Forbes,https://www.forbes.com/sites/christopherhelman/2018/01/16/bitcoin-mining-uses-as-much-power-as-ireland-and-why-thats-not-a-problem/,2018-01-16T08:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Bitcoin's Power Needs May Be Overblown - Bloomberg,https://www.bloomberg.com/news/articles/2018-01-16/bitcoin-s-power-needs-may-be-overblown-recalling-pot-growing,2018-01-16T08:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"Bitcoin, Ethereum and almost every other cryptocurrency is plunging - TechCrunch",https://techcrunch.com/2018/01/16/bitcoin-crypto-crashed-hard-part-deux/,2018-01-16T08:00:00+00:00,"{'name': 'TechCrunch', 'url': 'https://techcrunch.com'}"
Bitcoin price correlation with search volume in 2017 - Business Insider,https://www.businessinsider.com/value-of-bitcoin-correleated-almost-perfectly-searches-2018-1,2018-01-16T08:00:00+00:00,"{'name': 'Business Insider', 'url': 'https://www.businessinsider.com'}"
10 Ways Cryptocurrency Will Make The World A Better Place - Nasdaq,https://www.nasdaq.com/articles/10-ways-cryptocurrency-will-make-the-world-a-better-place-2018-01-16,2018-01-16T08:00:00+00:00,"{'name': 'Nasdaq', 'url': 'https://www.nasdaq.com'}"
"Dallas Mavericks To Accept Bitcoin 'Next Season,' Owner Mark Cuban Says - KERA News",https://www.keranews.org/sports/2018-01-16/dallas-mavericks-to-accept-bitcoin-next-season-owner-mark-cuban-says,2018-01-16T08:00:00+00:00,"{'name': 'KERA News', 'url': 'https://www.keranews.org'}"
50 Chicago Startups to Watch in 2018 - Built In Chicago,https://www.builtinchicago.org/2018/01/16/50-chicago-startups-watch-2018,2018-01-16T08:00:00+00:00,"{'name': 'Built In Chicago', 'url': 'https://www.builtinchicago.org'}"
"Bitcoin headed to $100,000 in 2018: Analyst who forecast 2017 price move - CNBC",https://www.cnbc.com/2018/01/16/bitcoin-headed-to-100000-in-2018-analyst-who-forecast-2017-price-move.html,2018-01-16T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
