title,url,published_date,publisher
Bitcoin price plunge sparks new crash fears - The Guardian,https://www.theguardian.com/technology/2015/jan/14/bitcoin-price-plunge-sparks-new-crash-fears,2015-01-14T08:00:00+00:00,"{'name': 'The Guardian', 'url': 'https://www.theguardian.com'}"
"Bitcoin Price Continues to Fall, Breaking Through $200 Barrier - CoinDesk",https://www.coindesk.com/markets/2015/01/14/bitcoin-price-continues-to-fall-breaking-through-200-barrier/,2015-01-14T08:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
NSA: SO SORRY we backed that borked crypto even after you spotted the backdoor - The Register,https://www.theregister.com/2015/01/14/nsa_sorry_we_borked_nist_encryption_well_sorry_we_got_caught/,2015-01-14T08:00:00+00:00,"{'name': 'The Register', 'url': 'https://www.theregister.com'}"
Flowers (Review) - Horror Society,https://www.horrorsociety.com/2015/01/14/flowers-review/,2015-01-14T08:00:00+00:00,"{'name': 'Horror Society', 'url': 'https://www.horrorsociety.com'}"
The religion of millionaires - CNBC,https://www.cnbc.com/2015/01/14/the-religion-of-millionaires-.html,2015-01-14T08:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"Defense Attorney: Ross Ulbricht Created Silk Road, But A Different Dread Pirate Roberts Committed The Crimes - Forbes",https://www.forbes.com/sites/sarahjeong/2015/01/14/defense-attorney-ross-ulbricht-created-the-silk-road-but-a-different-dread-pirate-roberts-committed-the-crimes/,2015-01-14T08:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
Why so few women are CEOs (in 5 charts) - Fortune,https://fortune.com/2015/01/14/why-so-few-women-ceos/,2015-01-14T08:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
"Lawsuit alleges fraud by KiOR executives, investors - Clarion Ledger",https://www.clarionledger.com/story/business/2015/01/14/lawsuit-fraud-kior-khosla/21765049/,2015-01-14T08:00:00+00:00,"{'name': 'Clarion Ledger', 'url': 'https://www.clarionledger.com'}"
Muhammad Sculpture Inside Supreme Court a Gesture of Goodwill - blogs.wsj.com,http://blogs.wsj.com/law/2015/01/14/muhammad-sculpture-inside-supreme-court-a-gesture-of-goodwill/,2015-01-14T08:00:00+00:00,"{'name': 'blogs.wsj.com', 'url': 'http://blogs.wsj.com'}"
The Most Important Trial in America - The Daily Beast,https://www.thedailybeast.com/articles/2015/01/14/the-most-important-trial-in-america,2015-01-14T08:00:00+00:00,"{'name': 'The Daily Beast', 'url': 'https://www.thedailybeast.com'}"
